## 01 | The date on the cup | カップの ひづけ | Bedroom above the cafe, dawn
@ A blue cup lies broken in darkness. A woman's hand reaches for an empty place at the table. Cut to the same cup, whole, beside a ringing phone. Aoi wakes in her old room. The phone reads 4/12. Her mother's slippers stop outside the door. | くらい へや。あおいの て。われた あおい カップ。つぎは、あさ。カップは きれいです。でんわの がめんは 4/12 です。ドアの そとは、おかあさんです。
あおい|ここは……。|This place...
みさき|あおい。おはよう。|Aoi. Good morning.
あおい|おかあさん？|Mom?
みさき|はい。おかあさんです。|Yes. It's your mom.
あおい|ほんとうに？|Really?
みさき|ほんとうに。|Really.
あおい|おかあさんの こえ……。|Mom's voice...
みさき|あおい？ だいじょうぶ？|Aoi? Are you all right?
あおい|はい。だいじょうぶです。|Yes. I'm all right.
みさき|あら、きょうは ていねいですね。|Oh, you're polite today.
あおい|きょうは……。|Today...
みさき|きょうは おみせの たんじょうびです。|Today is the cafe's anniversary.
あおい|たんじょうび？|Anniversary?
みさき|はい。じゅうねんです。|Yes. Ten years.
あおい|じゅうねん……。|Ten years...
みさき|これは あなたの カップです。|This is your cup.
あおい|あおい カップ。|The blue cup.
みさき|そう。あなたの なまえも、あおい。|Yes. And your name is Aoi.
あおい|これは、わたしの……。|This is mine...
みさき|これは わたしの カップじゃありません。|This isn't my cup.
あおい|おかあさんの カップは？|Where is your cup?
みさき|あれです。しろい カップです。|That one. The white cup.
あおい|しろい カップも……。|The white cup, too...
みさき|なに？|What is it?
あおい|いいえ。なんでも ありません。|No. It's nothing.
みさき|これは きょうの エプロンです。|This is today's apron.
あおい|わたしのですか。|Is it mine?
みさき|そうです。あなたのです。|Yes. It's yours.
あおい|この エプロン……。|This apron...
みさき|あおい？|Aoi?
あおい|きょうは しがつ じゅうににちですか。|Is today April twelfth?
みさき|はい。しがつ じゅうににちです。|Yes. It's April twelfth.
あおい|らいねんじゃ ありませんか。|It isn't next year?
みさき|らいねん？|Next year?
あおい|すみません。|Sorry.
みさき|ゆめ？|A dream?
あおい|たぶん。ゆめです。|Maybe. A dream.
みさき|こわい ゆめ？|A scary dream?
あおい|はい。とても。|Yes. Very.
みさき|ここは あなたの へやです。|This is your room.
あおい|わたしの へや。|My room.
みさき|ここは わたしたちの うちです。|This is our home.
あおい|わたしたちの うち。|Our home.
みさき|あさごはんは パンです。|Breakfast is bread.
あおい|おかあさんの パンですか。|Your bread?
みさき|もちろん。|Of course.
あおい|ありがとう。ほんとうに、ありがとう。|Thank you. Really, thank you.
みさき|パンで なみだ？|Tears over bread?
あおい|パンだけじゃ ありません。|It isn't just the bread.
@ Her mother holds out the apron. Aoi feels the unburned cloth, then touches the cup's handle. A silent memory: that handle on a wet pavement, her mother's chair empty. Back in the room, she hugs her mother; the apron falls between them. | おかあさんの てに、エプロン。あおいの てに、カップ。ゆめの なかでは、ぬれた みちと、からの いす。いま、ここには おかあさん。あおいは おかあさんと いっしょです。
! G001 G002 G004 G005 G006 G008 G009 G014
? What proves that Aoi is in an earlier moment? | The whole blue cup, the anniversary apron and her living mother together contradict her memory.
? Whose cup is white? | Misaki's.

## 02 | Breakfast for three | あさごはんは さんにんぶん | Kitchen, early morning
@ Misaki cuts bread. Aoi sets out three cups, then stops at the third chair. Her younger brother Haru enters carrying a toy camera. He photographs the butter instead of his sister. | おかあさんは パンを きります。テーブルに カップが みっつ。あおいは いすの まえです。はるの てに、ちいさい カメラ。しゃしんは バターです。
はる|おはよう。|Morning.
あおい|はる……。|Haru...
はる|ぼくは はるです。おねえさんは？|I'm Haru. And you, miss?
あおい|わたしは あおいです。|I'm Aoi.
はる|はじめまして、あおいさん。|Nice to meet you, Aoi.
あおい|はじめまして。|Nice to meet you.
みさき|ふたりとも、あさごはんです。|Breakfast, you two.
はる|これは ぼくの パン？|Is this my bread?
あおい|それは おかあさんの パンです。|That's Mom's bread.
はる|じゃ、これは？|Then what about this?
みさき|それも わたしの パンです。|That is my bread too.
はる|ぜんぶ？|All of it?
みさき|わたしの おみせの パンです。|It's bread from my cafe.
