## 01b | Names on the door | ドアの なまえ | Upstairs corridor, morning
@ Before breakfast, Aoi studies old name labels on the bedroom doors. Haru has added a ridiculous label to the bathroom. Misaki brings a laundry basket. Aoi's phone has no messages from the year she remembers. | あさごはんの まえです。ドアに なまえが あります。おかあさんは せんたくものを もちます。あおいは でんわを みます。あの としの メッセージは ありません。
あおい|これは わたしの なまえです。あおい。|This is my name. Aoi.
みさき|そうですよ。となりは はるの へやです。|That's right. The next room is Haru's.
あおい|この ドアの なまえも はるですか。|Is the name on this door Haru too?
みさき|いいえ。そこは おふろです。|No. That's the bathroom.
あおい|「はるの おしろ」です。|It says “Haru's castle.”
みさき|また はるですね。あの こは おうさまです。|Haru again. That boy is a king.
あおい|おうさまの おふろですね。|The king's bath, then.
みさき|でも、タオルは みんなの タオルです。|But the towels belong to everyone.
あおい|この タオルは、まだ ここです。|This towel is still here.
みさき|まだ？ きのうも ここでしたよ。|Still? It was here yesterday too.
あおい|はい。きのうも。すみません。|Yes. Yesterday too. Sorry.
みさき|でんわは だいじょうぶですか。|Is your phone all right?
あおい|でんわは だいじょうぶです。わたしが……。|The phone is all right. I'm the one...
みさき|きょうは おやすみでも いいですよ。|You can take today off.
あおい|いいえ。きょうは わたしも おみせです。|No. I'll be at the cafe today too.
みさき|じゃ、こちらが あおいさんの おしごとです。|Then this is your job, Miss Aoi.
あおい|タオルですか。|The towels?
みさき|はい。しろは キッチン。あおは テーブルです。|Yes. White is for the kitchen. Blue is for the tables.
あおい|あかは？ この あかい タオルは？|What about red? This red towel?
みさき|それは はるの おしろです。|That's for Haru's castle.
あおい|おしろも しごとですね。|The castle is work too, then.
みさき|おうさまは なにもしません。|The king doesn't do anything.
はる|おうさまは いそがしいです！|The king is busy!
あおい|どこですか、おうさま。|Where are you, Your Majesty?
はる|ここです。おしろの なかです。|Here. Inside the castle.
みさき|あさごはんは あと ごふんです。|Breakfast is in five minutes.
はる|パンは ぼくのです。おねえちゃんのじゃ ありません。|The bread is mine. It isn't Aoi's.
あおい|わたしは パンの どろぼうじゃありません。|I'm not a bread thief.
はる|きのうの パンは？|What about yesterday's bread?
あおい|きのう……。|Yesterday...
みさき|きのうの パンは わたしの おなかの なかです。|Yesterday's bread is in my stomach.
はる|おかあさんが おうさまですね。|Mom is the king, then.
あおい|はい。おかあさんが おうさまです。|Yes. Mom is the king.
みさき|じゃ、みんな、キッチンへ。|Then everyone, to the kitchen.
あおい|おかあさん。この なまえは そのままです。|Mom. Leave this name just as it is.
みさき|あおいの ドア？ もちろんです。|On your door? Of course.
@ Aoi presses down a peeling corner of her name label instead of taking a photograph. It is a small decision to live in this morning. She follows the others downstairs. | あおいは なまえの シールを おさえます。しゃしんは とりません。かぞくと いっしょに したへ いきます。
! G001 G002 G004 G006 G007 G008 G010
? Why does Aoi examine ordinary household objects? | They let her test whether she is really back in her old life.
? What are the blue towels for? | The cafe tables.

## 02b | A missing year | ない メッセージ | Kitchen window, after breakfast
@ Haru clears cups while Aoi scrolls through her phone. She searches for a conversation with a former friend, Yui. The last message is an invitation she had ignored in her remembered life. | はるは カップを はこびます。あおいは でんわを みます。ゆいの メッセージが あります。さいごの メッセージは、おちゃの さそいです。
はる|それは だれの しゃしんですか。|Whose picture is that?
あおい|ゆいの しゃしんです。わたしの ともだちです。|It's Yui's picture. She's my friend.
はる|ゆいさんは きょうも がっこうですか。|Is Yui at school today too?
あおい|はい。たぶん がっこうです。|Yes. Probably at school.
はる|おねえちゃんも がっこうですか。|Are you at school too?
あおい|きょうは ここです。おみせです。|I'm here today. At the cafe.
はる|じゃ、ゆいさんも ここですか。|Then is Yui here too?
あおい|いいえ。まだ メッセージだけです。|No. Just a message for now.
はる|なんの メッセージですか。|What kind of message?
あおい|「きょう、おちゃは どうですか。」|“How about tea today?”
はる|おちゃは ここに ありますよ。|There's tea here.
あおい|そうですね。ここに あります。|That's right. There is.
はる|この カップは ゆいさんのですか。|Is this cup Yui's?
あおい|いいえ。それは おとうさんのです。|No. That's Dad's.
はる|じゃ、しろい カップが いいです。|Then the white cup would be good.
あおい|それは おかあさんの カップですよ。|That's Mom's cup.
はる|この おみせは カップが すくないですね。|This cafe doesn't have many cups.
あおい|したに たくさん あります。ここは キッチンです。|There are plenty downstairs. This is the kitchen.
はる|そうでした。ぼくは カメラの ひとです。|Oh, right. I'm the camera person.
あおい|カップの ひとじゃありませんね。|You aren't the cup person, then.
はる|ゆいさんの しゃしんも とります。|I'll take Yui's photo too.
あおい|きょうは わかりません。|I don't know about today.
はる|どうして？ ともだちでしょう。|Why? She's your friend, isn't she?
あおい|ともだちです。でも、わたしは……。|She is. But I...
はる|けんかですか。|Did you have a fight?
あおい|いいえ。まだ けんかじゃありません。|No. We haven't had a fight yet.
はる|まだ？ へんな にほんごです。|Yet? That's strange Japanese.
あおい|そうですね。ごめん。|You're right. Sorry.
はる|「ここで おちゃです。」それで いいです。|“Tea here.” That's all you need.
あおい|「ここで おちゃです。」|“Tea here.”
はる|それから、「パンも あります。」|And then, “There's bread too.”
あおい|はるの パンは ありませんよ。|There isn't any of your bread left.
はる|ゆいさんの パンです。べつです。|It's Yui's bread. That's different.
あおい|じゃ、ゆいの パンも。|Then bread for Yui too.
はる|はい。これで だいじょうぶです。|Yes. That's good.
あおい|ありがとう。きょうの はるは せんせいですね。|Thank you. Today you're the teacher, Haru.
はる|きょうだけじゃ ありません。|Not just today.
@ Aoi types a short invitation and sends it to the fictional friend within the story. A reply bubble appears, vanishes, then returns: 「いきます。」 Aoi smiles before the sound of the cafe drawer pulls her back to the mystery. | あおいは みじかい メッセージを おくります。ゆいの へんじは「いきます。」です。あおいは わらいます。したで ひきだしの おとが します。
! G001 G002 G006 G010 G022 G023
? What earlier mistake does Aoi begin to change? | She responds to Yui instead of ignoring her invitation.
? Is the past fight shown as already happening now? | No. Aoi's word “yet” reveals that she is remembering a different sequence.

## 03b | The floor plan | おみせの ちず | Cafe floor, before opening
@ Aoi moves a chair to watch both the drawer and side door. Misaki makes her walk a tray through the narrowed aisle. Aoi must find a position that protects the cafe without making ordinary service impossible. | あおいは いすを うごかします。いすから ひきだしと ドアが みえます。でも、みちは せまいです。おかあさんは あおいに トレーを わたします。
みさき|この いすは ここじゃありません。|This chair doesn't belong here.
あおい|でも、ここは いい ばしょです。|But this is a good spot.
みさき|おきゃくさんの みちです。せまいですよ。|It's the customers' aisle. It's narrow.
あおい|じゃ、テーブルの よこは どうですか。|Then how about beside the table?
みさき|そこは れいぞうこの まえです。|That's in front of the fridge.
あおい|まどの したは どうですか。|How about under the window?
みさき|そこは はなの ばしょです。|That's where the flowers go.
あおい|この おみせは ばしょが ありませんね。|There's no room in this cafe.
みさき|いすは いつもの ばしょが いいです。|The chair is best in its usual place.
あおい|いつもの ばしょは どこですか。|Where is its usual place?
みさき|あの テーブルの みぎです。|To the right of that table.
あおい|ドアは ひだり。ひきだしは うしろ。|The door is on the left. The drawer is behind.
みさき|そうです。まどは まえです。|That's right. The window is in front.
あおい|おかあさんは いつも どこですか。|Where are you usually?
みさき|キッチンと カウンターです。|The kitchen and the counter.
あおい|よこの ドアは だれの ドアですか。|Whose door is the side door?
みさき|みんなの ドアです。はいたつも そこです。|Everyone's door. Deliveries use it too.
あおい|まえの ドアは おきゃくさんですね。|The front door is for customers, right?
みさき|はい。うしろは ごみの ばしょです。|Yes. The rubbish area is at the back.
あおい|かぎは よこの ドアにも ありますか。|Does the side door have a lock too?
みさき|あります。でも、いまは あいています。|It does. But it's open now.
あおい|どうして あいていますか。|Why is it open?
みさき|はいたつの じかんです。|It's delivery time.
あおい|はいたつは なんじまでですか。|Until when are there deliveries?
みさき|きょうは はちじはんまでです。|Until eight thirty today.
あおい|いまは はちじ じゅうごふん。|It's eight fifteen now.
みさき|あと じゅうごふんです。|Fifteen minutes left.
あおい|じゃ、わたしは ここに います。|Then I'll stay here.
みさき|ここで なにを しますか。|What will you do here?
あおい|テーブルを ふきます。|I'll wipe the tables.
